"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JKIUSDM7","journalArticle","2012","Nagendra, Ravindra P.; Maruthai, Nirmala; Kutty, Bindu M.","Meditation and Its Regulatory Role on Sleep","Frontiers in Neurology","","1664-2295","10.3389/fneur.2012.00054","https://www.frontiersin.orghttps://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2012.00054/full","Intense meditation practices help to achieve a harmony between body and mind. Meditation practices influence brain functions, induce various intrinsic neural plasticity events, modulate autonomic, metabolic, endocrine, and immune functions and thus mediate global regulatory changes in various behavioral states including sleep. This brief review focuses on the effect of meditation as a self regulatory phenomenon on sleep.","2012-04-18","2025-05-06 05:36:02","2025-05-06 05:36:02","2025-05-05 09:16:29","","","","3","","Front. Neurol.","","","","","","","","English","","","","","Frontiers","","Publisher: Frontiers","","C:\Users\Admin\Zotero\storage\NW3KZATP\Nagendra et al. - 2012 - Meditation and Its Regulatory Role on Sleep.pdf","","","autonomic activity; brain functions; endocrine functions; Meditation; neural plasticity; Sleep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWRGNWCV","journalArticle","1988","Bindu, P N; Desiraju, T","Success of autonomic operant conditioning of heart rate without involving contractions of somatic skeletal muscles","Indian Journal of Physiology and Pharmacology","","","","","In conscious Wistar rats neuro muscularlyparalysed by gallamine, operantly conditioned reduction of heart rate was achieved under both negative and positive reinforcement schedules using the tail shock avoidance or the rewarding brain-stimulations in 20-min test sessions. The primary airr. was to assess whether it would be possible to achieve operant conditioning of the heart rate, evoked not as a secondary reflex response of any voluntary skeletal muscular contrac· tions of trunk but as a conditioned voluntary function of the central autonomic regulation of a visceral organ, since this entire subject was peculiarly left in confusion by Miller (5,8) who wanted that others should independently study it. This study revealed interestingly that not every subject might be able to achieve the visceral learning in a given set of conditions, and suggested that this type of a special learning might be dependent on individual predisposition in the central nervous system. In the present study, 15 showed the learning, out of the 58 subjects assessed. It was also observed that there was a variation in the magnitude of the learning response among different learners, and, also, in the same subject in different sessions conducted on different days. This is considered as an indication that this type of conditioned autonomic function is probably not easily recruited into the long-term memory mechanisms. The overall average of the operant lowering of the heart rate progressively achieved by the end part of the learning session was about 10.5% from the basal average rate, and the score of reinforcement (per cent of painful tail shocks avoided, or of increase in number of brain shocks achieved) was over 80%. The extinction test confirmed the learning. Control experiments revealed that the conditioned heart rate changes were not due to any unconditioned stimulus effects. The learning observed under the brain-stimulation reinforcement was confirmed by losing the learning response after lesioning the site of the rewarding stimulation. The visceral operant learning occurring in state of somatomotor paralysis under both negative and positive types of reinforcement was blocked by haloperidol. Morphine delayed the onset of the pain avoidance operant learning, whereas it speeded up the hedonic brainstimulation operant learning. The results, considered from all the above angles, dispell the doubt previously expressed about the occurrence of the operant conditioning of heart rate under a visceral learning paradigm.","1988-05","2025-05-06 05:36:41","2025-05-06 06:43:36","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\Admin\Zotero\storage\NT82UUCG\Bindu and Desiraju - 1988 - Indian Journal of Physiology and Pharmacology - Success of autonomic operant conditioning of heart rate without involving contractions of somatic sk.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ET7IGPHB","journalArticle","2022","Boini, Srikanth Yadav; Mahale, Rohan; Donaparthi, Seshagiri; Kamble, Nitish; Holla, Vikram V.; Pal, Pramod Kumar; Kutty, Bindu; Yadav, Ravi","Sleep Architecture in Progressive Supranuclear Palsy","Annals of Indian Academy of Neurology","","","","https://journals.lww.com/annalsofian/fulltext/2022/25050/sleep_architecture_in_progressive_supranuclear.19.aspx","Background:            Sleep disturbances have been reported to occur in progressive supranuclear palsy (PSP). The anatomical regions affected in PSP and those regulating sleep and wake cycle like dorsal raphe nucleus, locus coeruleus (LC), and pedunculopontine nucleus (PPN) overlap. There is a paucity of polysomnographic studies in PSP and they have shown altered sleep architecture.           Objective:            To study the sleep architecture in patients with PSP using video-polysomnography (vPSG) and correlate it with the disease severity and duration.           Methods:            This was a prospective, cross-sectional, case-control, single-center study. A total of 22 patients with PSP and 15 age and gender-matched controls were recruited. The cases and controls underwent clinical assessment, face-to-face interviews with sleep questionnaires, anxiety and depression scales, and one overnight vPSG. The sleep architecture was analyzed in detail.           Results:            The sleep architecture was altered as compared to the controls. The total sleep time, stage N2 duration, stage N3 duration, rapid-eye-movement (REM) sleep duration, sleep efficiency %, and N2%, N3%, and REM% were significantly lesser in PSP patients. The wake duration, wake after sleep onset (WASO) duration, wake%, WASO%, stage N1 duration was significantly greater in PSP patients. The stage N2 and N3 latencies were significantly prolonged in patients. REM sleep without atonia was noted in four patients and no patients had vPSG proven REM sleep behavior disorder.           Conclusions:            Sleep architecture is altered in PSP even during the early stages of the disease. There is reduced total sleep including both non-REM and REM sleep, sleep efficiency, prolonged sleep latencies, and increased wake duration. This correlates with the neurodegenerative processes affecting the anatomical region regulating the sleep/wake cycle like dorsal raphe nucleus, locus coeruleus (LC), pedunculopontine nucleus (PPN).","2022","2025-05-06 05:36:24","2025-05-14 08:44:32","2025-05-05 10:03:11","","","","","","","Sleep Architecture in Progressive Supranuclear Palsy","","","","","","","en-US","","","","","journals.lww.com","","","","C:\Users\Admin\Zotero\storage\H27LM9WX\Boini et al. - 2022 - Annals of Indian Academy of Neurology - Sleep Architecture in Progressive Supranuclear Palsy A...  Annals of Indian Academy of Neurology.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBCB3VBV","journalArticle","2021","Ray, Somdattaa; Kutty, Bindu; Pal, Pramod Kumar; Yadav, Ravi","Sleep and other Non-motor Symptoms in Patients with","Annals of Indian Academy of Neurology","","","","https://journals.lww.com/annalsofian/fulltext/2021/24030/sleep_and_other_non_motor_symptoms_in_patients.8.aspx","Introduction:            Non-motor symptoms are an essential cause of comorbidity in generalized and focal dystonia. However, there are few studies on dystonia involving the craniofacial regions.           Methods:            We studied non-motor symptoms in patients with oromandibular dystonia (OMD) and Meige syndrome using a questionnaire, and validated instruments for depression, anxiety, REM behaviour disorder, restless leg syndrome, sleep quality, excessive daytime sleepiness, and self-esteem. The severity of dystonia and blepharospasm was also studied.           Results:            Nineteen patients with OMD were recruited into the study. Among patients with OMD, depression was seen in 63.6% (n = 7), sleep impairment in 27.3% (n = 3), excessive daytime sleepiness in 27.3% (n = 3), and poor self- esteem in 18.2% (n = 2) of the patients. Among patients with Meige syndrome, depression was seen in 37.5% (n = 3), sleep impairment in 12.5% (n = 1), excessive daytime sleepiness in 25% (n = 2), low self-esteem in 25% (n = 2) of the patients.           Conclusion:            This study highlights the significant frequency of depression and sleep disturbances in patients with idiopathic OMD and Meige syndrome.","2021","2025-05-06 05:36:22","2025-05-06 06:40:17","2025-05-05 10:03:02","","","","","","","Sleep and other Non-motor Symptoms in Patients with...","","","","","","","en-US","","","","","journals.lww.com","","","","C:\Users\Admin\Zotero\storage\7WC7KHMT\Ray et al. - 2021 - Annals of Indian Academy of Neurology - Sleep and other Non-motor Symptoms in Patients with.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PU3YPZSB","journalArticle","2012","Anil, S. Pt R.; Laxmi, T. R.; Kutty, Bindu M.; Raju, T. R.","Olfactory tract transection in neonatal rats: Evidence for Mitral cell regeneration and restoration of functional connectivity with its targets.","Indian Journal of Experimental Biology","","","","http://imsear.searo.who.int/handle/123456789/145313","","2012","2025-05-06 05:36:32","2025-05-08 07:02:00","2025-05-05 10:10:10","","","","","","","Olfactory tract transection in neonatal rats","","","","","","","en","","","","","pesquisa.bvsalud.org","","","","C:\Users\Admin\Zotero\storage\KNQVEXIY\Anil et al. - 2012 - Indian Journal of Experimental Biology - Olfactory tract transection in neonatal rats Evidence for Mitral cell regeneration and restoration.pdf","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCTEGBGF","journalArticle","1992","Bindu, P.N.; Desiraju, T.","Loss of self-stimulation in lateral hypothalamus and substantia nigra - ventral tegmental area caused by lesions in them is not accompanied by major reductions in levels of DA, NA, 5-HT in those and other brain regions","Biogenic Amines","","","","","Electrolytic lesions were made bilaterally through each of the four electrodes implanted and tested for self-stimulation (SS) in two regions of brain, the lateral hypothalamus (LH) and the substantia nigra ventral tegmental area (SN-VTA) in each of the Wistar rats used in this study for finding the effects of such lesions on subsequent SS behaviour and also on food intake in both operant conditioning paradigm (FR5) and free-field state of home cage, and on levels of monoamines in different brain regions to reveal indications of correlation. Before making the lesions, the SS rate of each electrode site and the feeding behaviour were characterised for each rat, and rats without robust SS rates were excluded. After making medium size lesions through the electrodes bilaterally in one of the two regions, SS was lost from only those electrode sites but not from the electrodes present in the other region. Even after all the four sites were lesioned (medium size) and the SS of the four sites was abolished, the levels of dopamine (DA) noradrenaline (NA) and serotonin (5-HT) were only marginally (15 to 20%) decreased and statistical significance reached in only hypothalamus but not so consistently in the other regions of the brain examined (motor cortex, hippocampus, striatum, ventral brainstem). This indicated clearly that the robust SS rates at the loci of electrode tips could not be substantially due to involvement of the above categories of monoaminergic neurons and related synapses, but that non-monoaminergic pathways present at the loci could have formed the main basis for the SS of the loci. In contrast to the loss of SS at the 4 lesioned sites, and the 20% reduction of the amines, the feeding behaviour in both operant and free- field condition was not significantly affected in those subjects. Contrary to above, larger size lesions made in both regions have affected markedly both SS and feeding behaviours. However, even with such lesions, the reduction in the levels of the three amines was usually less than 40% in different brain regions. Hence the marked reduction in feeding behaviour and SS behaviour in these subjects may not be mainly due to the impairment of the monoaminergic systems as their levels are still high (over 60%). Large lesions made bilaterally through only LH have lead to a significant reduction in only feeding behaviour, but not in the SS of the intact electrodes located in SN-VTA. The amine levels fell by 30% in only hypothalamus and none in other regions. In contrast to this, such large lesions made bilaterally through SN-VTA have affected the two operant behaviours (SS of the intact LH electrode sites, and the FR-5 for food reward), but not the free-field food intake These lesions caused a significant reduction of NA and 5-HT in brainstem and DA and 5-HT in striatum. NA and 5-HT was significantly reduced in motor cortex also. However, these reductions also were only 20-25%. Hence, once again, these observations also with large lesions of SS areas indicated a poor correlation of involvement of catecholaminergic pathways in LH and SN-VTA in their SS (and feeding) behaviours. On the whole, the results do not provide interpretations to support catecholamine theories of rewarding behaviours, and they draw major attention towards the role of non-monoaminergic neural systems.","1992-01-01","2025-05-06 05:36:42","2025-05-09 11:21:54","","207-219","","","8","","Biogenic Amines","","","","","","","","","","","","","ResearchGate","","","","C:\Users\Admin\Zotero\storage\MNXZJXZP\Bindu and Desiraju - 1992 - Biogenic Amines - Loss of self-stimulation in lateral hypothalamus and substantia nigra - ventral tegmental area cause.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHHZ9A4F","journalArticle","1998","Ravikumar, R.; Lakshmana, M. K.; Shankaranarayana Rao, B. S.; Meti, B. L.; Bindu, P. N.; Raju, T. R.","Deprenyl Attenuates Spinal Motor Neuron Degeneration and Associated Locomotor Deficits in Rats Subjected to Spinal Cord Ischemia","Experimental Neurology","","0014-4886","10.1006/exnr.1997.6682","https://www.sciencedirect.com/science/article/pii/S0014488697966826","We have evaluated potential neuroprotection offered by (−)-deprenyl on degenerating motor neurons of the spinal cord when subjected to transient ischemia. Thirty-six healthy adult male Wistar rats were trained for a motor function test in a staircase maze and randomly but equally (n=6) grouped into normal control, sham control, ischemia (IS), IS rats treated with vehicle (IV), and rats treated with low (0.1 mg/kg) and high (1.0 mg/kg) doses of (−)-deprenyl. (−)-Deprenyl was given intraperitoneally 30 min after the induction of ischemia and thereafter everyday for 14 days. Spinal cord ischemia was produced at the lumbar level in conscious rats by occluding the abdominal aorta just below the branching point of the left renal artery for 30 min. Analysis of the motor performance in all groups of rats revealed a significant (P<0.001) increase in the time taken to cross the run way of the maze, in IS and IV rats compared to all other groups of rats. In addition, qualitative and quantitative examination of spinal motor neurons at the lumbar level showed a significant (P<0.001) decrease in the number of healthy motor neurons in IS and IV rats compared to controls. Postischemic administration of (−)-deprenyl, at both doses, significantly prevented motor neuron degeneration and the associated locomotor deficits in IS rats.","1998-01-01","2025-05-06 05:36:40","2025-05-14 08:58:58","2025-05-05 10:48:43","123-129","","1","149","","Experimental Neurology","","","","","","","","","","","","","ScienceDirect","","Number: 1","","C:\Users\Admin\Zotero\storage\J76H5IGN\Ravikumar et al. - 1998 - Experimental Neurology - (−)-Deprenyl Attenuates Spinal Motor Neuron Degeneration and Associated Locomotor Deficits in Rats S.pdf","","","(−)-deprenyl; locomotor deficit.; motor neurons; neurodegeneration; neuroprotection; spinal cord ischemia; staircase maze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLDG6SPQ","journalArticle","2003","Sreekumaran, E; Ramakrishna, T; Madhav, T. R; Anandh, D; Prabhu, B. M; Sulekha, S; Bindu, P. N; Raju, T. R","Loss of dendritic connectivity in CA1, CA2, and CA3 neurons in hippocampus in rat under aluminum toxicity: Antidotal effect of pyridoxine","Brain Research Bulletin","","0361-9230","10.1016/S0361-9230(02)00944-9","https://www.sciencedirect.com/science/article/pii/S0361923002009449","Aluminum chloride (AlCl3; 4mg/kg) was injected into the cerebrospinal fluid of adult rats as a one time dose. Rapid Golgi stained sections of hippocampus were examined for detailed histology of neurons in CA1, CA2, and CA3 areas. The axonal length and number of dendritic branches were seen reduced 30 days later in aluminum (Al)-injected group when compared to vehicle-injected controls. Of these perturbations, dendritic branches were seen reduced significantly. Al toxicity apparently affects neuronal connectivity in hippocampus. These perturbations are reversed by supplementing the feed with pyridoxine (8mg/kg) for 30 days. As the loss of synaptic connectivity is a predominant feature of neurodegenerative disorders such as Alzheimer disease, this study may have implications in such disorders. Pyridoxine may be considered as a potent antidote to Al toxicity and neurodegenerative disorders such as Alzheimer disease.","2003-02-15","2025-05-06 05:36:39","2025-05-06 05:36:39","2025-05-05 10:47:27","421-427","","6","59","","Brain Research Bulletin","Loss of dendritic connectivity in CA1, CA2, and CA3 neurons in hippocampus in rat under aluminum toxicity","","","","","","","","","","","","ScienceDirect","","Number: 6","","C:\Users\Admin\Zotero\storage\RWFRLM58\Sreekumaran et al. - 2003 - Brain Research Bulletin - Loss of dendritic connectivity in CA1, CA2, and CA3 neurons in hippocampus in rat under aluminum tox.pdf","","","Aluminum; Hippocampus; Dendritic branches; Pyridoxine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GC3496I7","journalArticle","2021","Ray, Somdattaa; Kumar, Gulshan; Kutty, Bindu; Pal, Pramod Kumar; Yadav, Ravi","Patients with Primary Cervical Dystonia have Significant Sleep Impairment and Polysomnographic Abnormalities","Sleep and Vigilance","","2510-2265","10.1007/s41782-021-00144-6","https://doi.org/10.1007/s41782-021-00144-6","The non-motor symptoms in Primary Cervical dystonia (CD) include sleep disturbances. The objective was to study the sleep disturbances and polysomnographic characteristics in patients with CD.","2021-06-01","2025-05-06 05:36:38","2025-05-08 07:02:01","2025-05-05 10:37:22","119-126","","1","5","","Sleep Vigilance","","","","","","","","en","","","","","Springer Link","","Number: 1","","C:\Users\Admin\Zotero\storage\EMGXX6A7\Ray et al. - 2021 - Sleep and Vigilance - Patients with Primary Cervical Dystonia have Significant Sleep Impairment and Polysomnographic Abnor.pdf","","#nosource","Sleep; Cervical dystonia; Dystonia; Non motor; REM sleep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXXZFNUH","journalArticle","2013","Talakad, S.; Kisan, R. K.; Sujan, M.; Nalini, A.; Kutty, B. M.; Raju, T.","Effect of Yoga therapy on migraine patients: A clinical and cardiac autonomic study","Journal of the Neurological Sciences","","0022-510X, 1878-5883","10.1016/j.jns.2013.07.1752","https://www.jns-journal.com/article/S0022-510X(13)02063-7/fulltext","","2013-10-15","2025-05-06 05:36:38","2025-05-06 05:36:38","2025-05-05 10:13:04","e495","","","333","","Journal of the Neurological Sciences","Effect of Yoga therapy on migraine patients","","","","","","","English","","","","","www.jns-journal.com","","Publisher: Elsevier","","C:\Users\Admin\Zotero\storage\FTIJXHSE\Talakad et al. - 2013 - Effect of Yoga therapy on migraine patients A clinical and cardiac autonomic study.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
